date,HORA,SBJ,CDM,STA,VMT,CRS,SJL,SMP,CRB,PPD
1/1/2022,0:00:00,,11.72,37.02,49.39,,44.77,16.02,,
1/1/2022,1:00:00,,13.03,66.67,80.28,,98.40,56.89,,
1/1/2022,2:00:00,,18.21,47.81,130.13,,99.80,26.68,,
1/1/2022,3:00:00,,27.50,57.97,107.73,,91.10,23.63,,
1/1/2022,4:00:00,,25.14,52.99,93.25,,51.55,19.74,,
1/1/2022,5:00:00,,18.95,51.85,67.49,,51.15,25.76,,
1/1/2022,6:00:00,,21.46,60.97,55.51,,55.38,31.78,,
1/1/2022,7:00:00,,28.00,63.06,48.82,,57.73,37.51,,
1/1/2022,8:00:00,,17.95,66.72,37.83,,65.96,37.36,,
1/1/2022,9:00:00,,18.27,57.08,35.51,,63.15,43.28,,
1/1/2022,10:00:00,,13.22,38.88,35.62,,50.03,41.54,,
1/1/2022,11:00:00,,11.65,28.09,32.22,,40.39,23.47,,
1/1/2022,12:00:00,,8.45,22.84,24.58,,34.70,13.91,,
1/1/2022,13:00:00,,6.25,15.63,20.11,,23.35,10.82,,
1/1/2022,14:00:00,,5.15,11.53,15.64,,16.00,9.20,,
1/1/2022,15:00:00,,5.42,9.58,15.35,,12.38,9.68,,
1/1/2022,16:00:00,,6.00,9.12,15.44,,10.78,10.46,,
1/1/2022,17:00:00,,6.23,8.14,13.31,,10.34,9.35,,
1/1/2022,18:00:00,,7.12,8.93,18.65,,10.02,10.05,,
1/1/2022,19:00:00,,9.61,11.91,26.32,,12.10,11.58,,
1/1/2022,20:00:00,,10.27,15.24,27.93,,15.30,13.40,,
1/1/2022,21:00:00,,14.29,20.06,18.31,,19.58,13.72,,
1/1/2022,22:00:00,,7.78,20.62,18.54,,23.26,13.66,,
1/1/2022,23:00:00,,07.01,15.59,16.69,,18.30,10.46,,
2/1/2022,0:00:00,,9.91,16.87,18.16,,19.35,9.42,,
2/1/2022,1:00:00,,6.87,16.57,21.30,,20.39,8.50,,
2/1/2022,2:00:00,,6.97,19.30,16.55,,25.72,9.95,,
2/1/2022,3:00:00,,7.76,21.73,29.54,,13.26,09.01,,
2/1/2022,4:00:00,,14.82,20.43,38.25,,23.79,13.07,,
2/1/2022,5:00:00,,17.69,23.55,38.60,,27.86,18.19,,
2/1/2022,6:00:00,,15.37,27.83,41.31,,29.55,18.80,,
2/1/2022,7:00:00,,13.66,35.19,46.98,,30.28,20.04,,
2/1/2022,8:00:00,,11.13,28.48,39.76,,38.99,16.53,,
2/1/2022,9:00:00,,11.03,22.86,38.13,,31.59,15.52,,
2/1/2022,10:00:00,,11.77,22.54,31.73,,24.38,15.91,,
